OctaveIndex,OctaveValue,AdjustedOctaveValue,NoiseLevel
2,-48,-72,100
3,-25,-25,85
4,-24,-28,85
5,-23,-32,80
6,-2,-3,70
7,5,15,70
2,-25,-37,100
3,-12,-12,85
4,-20,-24,85
5,-19,-26,80
6,0,0,70
7,3,9,70
2,-23,-34,100
3,-22,-22,85
4,-24,-28,85
5,-20,-28,80
6,-5,-8,70
7,6,18,70
2,-19,-28,100
3,-22,-22,85
4,-22,-26,85
5,-15,-21,80
6,-3,-5,70
7,4,12,70
2,-34,-51,100
3,-18,-18,85
4,-24,-28,85
5,-15,-21,80
6,-1,-1,70
7,2,6,70
2,-11,-16,100
3,-16,-16,85
4,-29,-34,85
5,-14,-19,80
6,-4,-6,70
7,3,9,70
2,-45,-67,100
3,-31,-31,85
4,-25,-30,85
5,-11,-15,80
6,0,0,70
7,2,6,70
2,-19,-28,100
3,-18,-18,85
4,-23,-27,85
5,-21,-29,80
6,-2,-3,70
7,4,12,70
2,-30,-45,100
3,-25,-25,85
4,-23,-27,85
5,-17,-23,80
6,-1,-1,70
7,4,12,70
2,-29,-43,100
3,-25,-25,85
4,-20,-24,85
5,-14,-19,80
6,-1,-1,70
7,2,6,70
2,-22,-33,100
3,-27,-27,85
4,-21,-25,85
5,-21,-29,80
6,3,5,70
7,6,18,70
2,-19,-28,100
3,-30,-30,85
4,-29,-34,85
5,-17,-23,80
6,-7,-11,70
7,3,9,70
2,-19,-28,100
3,-17,-17,85
4,-18,-21,85
5,-18,-25,80
6,-2,-3,70
7,3,9,70
2,-39,-58,100
3,-31,-31,85
4,-19,-22,85
5,-17,-23,80
6,-2,-3,70
7,6,18,70
2,-16,-24,100
3,-26,-26,85
4,-23,-27,85
5,-19,-26,80
6,2,3,70
7,5,15,70
2,-38,-57,100
3,-24,-24,85
4,-19,-22,85
5,-16,-22,80
6,-1,-1,70
7,3,9,70
2,-31,-46,100
3,-24,-24,85
4,-26,-31,85
5,-20,-28,80
6,-1,-1,70
7,5,15,70
2,-28,-42,100
3,-18,-18,85
4,-27,-32,85
5,-19,-26,80
6,-3,-5,70
7,4,12,70
2,-33,-49,100
3,-17,-17,85
4,-27,-32,85
5,-11,-15,80
6,1,1,70
7,6,18,70
2,-28,-42,100
3,-28,-28,85
4,-25,-30,85
5,-13,-18,80
6,-2,-3,70
7,8,24,70
2,-36,-54,100
3,-18,-18,85
4,-24,-28,85
5,-17,-23,80
6,0,0,70
7,7,21,70
2,-20,-30,100
3,-21,-21,85
4,-25,-30,85
5,-19,-26,80
6,-4,-6,70
7,2,6,70
2,-34,-51,100
3,-19,-19,85
4,-24,-28,85
5,-15,-21,80
6,-1,-1,70
7,7,21,70
2,-28,-42,100
3,-30,-30,85
4,-24,-28,85
5,-19,-26,80
6,-3,-5,70
7,2,6,70
2,-32,-48,100
3,-22,-22,85
4,-21,-25,85
5,-18,-25,80
6,0,0,70
7,5,15,70
2,-20,-30,100
3,-22,-22,85
4,-20,-24,85
5,-19,-26,80
6,-6,-10,70
7,1,3,70
2,-18,-27,100
3,-17,-17,85
4,-26,-31,85
5,-15,-21,80
6,2,3,70
7,5,15,70
2,-20,-30,100
3,-30,-30,85
4,-27,-32,85
5,-17,-23,80
6,-3,-5,70
7,4,12,70
2,-19,-28,100
3,-28,-28,85
4,-28,-33,85
5,-20,-28,80
6,0,0,70
7,6,18,70
2,-34,-51,100
3,-16,-16,85
4,-24,-28,85
5,-21,-29,80
6,4,6,70
7,7,21,70
2,-15,-22,100
3,-24,-24,85
4,-27,-32,85
5,-16,-22,80
6,-2,-3,70
7,2,6,70
2,-51,-76,100
3,-26,-26,85
4,-21,-25,85
5,-16,-22,80
6,-3,-5,70
7,3,9,70
2,-19,-28,100
3,-21,-21,85
4,-23,-27,85
5,-20,-28,80
6,-7,-11,70
7,3,9,70
2,-44,-66,100
3,-23,-23,85
4,-23,-27,85
5,-18,-25,80
6,-3,-5,70
7,5,15,70
2,-27,-40,100
3,-25,-25,85
4,-25,-30,85
5,-19,-26,80
6,0,0,70
7,3,9,70
2,-26,-39,100
3,-17,-17,85
4,-22,-26,85
5,-18,-25,80
6,-3,-5,70
7,5,15,70
2,-32,-48,100
3,-28,-28,85
4,-22,-26,85
5,-19,-26,80
6,-2,-3,70
7,5,15,70
2,-16,-24,100
3,-19,-19,85
4,-30,-36,85
5,-17,-23,80
6,-2,-3,70
7,6,18,70
2,-21,-31,100
3,-18,-18,85
4,-26,-31,85
5,-14,-19,80
6,-5,-8,70
7,3,9,70
2,-27,-40,100
3,-32,-32,85
4,-19,-22,85
5,-19,-26,80
