OctaveIndex,OctaveValue,AdjustedOctaveValue,NoiseLevel
2,-25,-37,100
3,-35,-35,85
4,-29,-34,85
5,-13,-18,80
6,-4,-6,70
7,65,195,70
2,-36,-54,100
3,-29,-29,85
4,-24,-28,85
5,-17,-23,80
6,-2,-3,70
7,65,195,70
2,-30,-45,100
3,-30,-30,85
4,-26,-31,85
5,-18,-25,80
6,-1,-1,70
7,64,192,70
2,-32,-48,100
3,-32,-32,85
4,-25,-30,85
5,-16,-22,80
6,-1,-1,70
7,63,189,70
2,-28,-42,100
3,-33,-33,85
4,-29,-34,85
5,-16,-22,80
6,-4,-6,70
7,62,186,70
2,-32,-48,100
3,-25,-25,85
4,-34,-40,85
5,-18,-25,80
6,-6,-10,70
7,62,186,70
2,-26,-39,100
3,-28,-28,85
4,-30,-36,85
5,-20,-28,80
6,0,0,70
7,62,186,70
2,-34,-51,100
3,-33,-33,85
4,-25,-30,85
5,-19,-26,80
6,0,0,70
7,62,186,70
2,-32,-48,100
3,-25,-25,85
4,-23,-27,85
5,-18,-25,80
6,-6,-10,70
7,63,189,70
2,-26,-39,100
3,-31,-31,85
4,-25,-30,85
5,-21,-29,80
6,-1,-1,70
7,63,189,70
2,-30,-45,100
3,-35,-35,85
4,-31,-37,85
5,-17,-23,80
6,-1,-1,70
7,63,189,70
2,-33,-49,100
3,-33,-33,85
4,-27,-32,85
5,-24,-33,80
6,-6,-10,70
7,63,189,70
2,-28,-42,100
3,-32,-32,85
4,-29,-34,85
5,-18,-25,80
6,-5,-8,70
7,62,186,70
2,-22,-33,100
3,-28,-28,85
4,-27,-32,85
5,-18,-25,80
6,1,1,70
7,63,189,70
2,-22,-33,100
3,-32,-32,85
4,-29,-34,85
5,-15,-21,80
6,0,0,70
7,63,189,70
2,-19,-28,100
3,-30,-30,85
4,-30,-36,85
5,-19,-26,80
6,0,0,70
7,62,186,70
2,-35,-52,100
3,-32,-32,85
4,-22,-26,85
5,-14,-19,80
6,-2,-3,70
7,62,186,70
2,-34,-51,100
3,-26,-26,85
4,-26,-31,85
5,-20,-28,80
6,0,0,70
7,61,183,70
2,-26,-39,100
3,-27,-27,85
4,-29,-34,85
5,-16,-22,80
6,-3,-5,70
7,61,183,70
2,-36,-54,100
3,-28,-28,85
4,-29,-34,85
5,-24,-33,80
6,-3,-5,70
7,62,186,70
2,-31,-46,100
3,-25,-25,85
4,-28,-33,85
5,-19,-26,80
6,-1,-1,70
7,62,186,70
2,-40,-60,100
3,-31,-31,85
4,-23,-27,85
5,-12,-16,80
6,1,1,70
7,64,192,70
2,-24,-36,100
3,-27,-27,85
4,-34,-40,85
5,-15,-21,80
6,-1,-1,70
7,63,189,70
2,-28,-42,100
3,-23,-23,85
4,-27,-32,85
5,-21,-29,80
6,-2,-3,70
7,64,192,70
2,-27,-40,100
3,-20,-20,85
4,-31,-37,85
5,-18,-25,80
6,-4,-6,70
7,65,195,70
2,-27,-40,100
3,-26,-26,85
4,-28,-33,85
5,-18,-25,80
6,2,3,70
7,65,195,70
2,-36,-54,100
3,-22,-22,85
4,-21,-25,85
5,-18,-25,80
6,-3,-5,70
7,65,195,70
2,-27,-40,100
3,-24,-24,85
4,-27,-32,85
5,-16,-22,80
6,-3,-5,70
7,62,186,70
2,-32,-48,100
3,-30,-30,85
4,-24,-28,85
5,-15,-21,80
6,0,0,70
7,62,186,70
2,-25,-37,100
3,-30,-30,85
4,-23,-27,85
5,-21,-29,80
6,-2,-3,70
7,68,204,70
2,-32,-48,100
3,-24,-24,85
4,-31,-37,85
5,-16,-22,80
6,4,6,70
7,66,198,70
2,-23,-34,100
3,-26,-26,85
4,-23,-27,85
5,-20,-28,80
6,-2,-3,70
7,63,189,70
2,-33,-49,100
3,-31,-31,85
4,-24,-28,85
5,-20,-28,80
6,3,5,70
7,62,186,70
2,-29,-43,100
3,-26,-26,85
4,-26,-31,85
5,-18,-25,80
6,-2,-3,70
7,60,180,70
2,-28,-42,100
3,-26,-26,85
4,-28,-33,85
5,-17,-23,80
