OctaveIndex,OctaveValue,AdjustedOctaveValue,NoiseLevel
6,-1,-1,70
7,52,156,70
2,-39,-58,100
3,-27,-27,85
4,-26,-31,85
5,-17,-23,80
6,-2,-3,70
7,58,174,70
2,-32,-48,100
3,-35,-35,85
4,-30,-36,85
5,-16,-22,80
6,-6,-10,70
7,62,186,70
2,-41,-61,100
3,-29,-29,85
4,-26,-31,85
5,-17,-23,80
6,-2,-3,70
7,63,189,70
2,-30,-45,100
3,-27,-27,85
4,-27,-32,85
5,-17,-23,80
6,-2,-3,70
7,64,192,70
2,-36,-54,100
3,-24,-24,85
4,-26,-31,85
5,-15,-21,80
6,0,0,70
7,61,183,70
2,-21,-31,100
3,-22,-22,85
4,-25,-30,85
5,-18,-25,80
6,-1,-1,70
7,62,186,70
2,-30,-45,100
3,-25,-25,85
4,-21,-25,85
5,-17,-23,80
6,-2,-3,70
7,61,183,70
2,-31,-46,100
3,-39,-39,85
4,-27,-32,85
5,-16,-22,80
6,0,0,70
7,59,177,70
2,-34,-51,100
3,-26,-26,85
4,-32,-38,85
5,-14,-19,80
6,-4,-6,70
7,60,180,70
2,-26,-39,100
3,-27,-27,85
4,-29,-34,85
5,-16,-22,80
6,-2,-3,70
7,64,192,70
2,-29,-43,100
3,-24,-24,85
4,-26,-31,85
5,-18,-25,80
6,1,1,70
7,63,189,70
2,-26,-39,100
3,-28,-28,85
4,-30,-36,85
5,-18,-25,80
6,-2,-3,70
7,62,186,70
2,-33,-49,100
3,-27,-27,85
4,-19,-22,85
5,-16,-22,80
6,-6,-10,70
7,65,195,70
2,-27,-40,100
3,-26,-26,85
4,-27,-32,85
5,-19,-26,80
6,-5,-8,70
7,65,195,70
2,-32,-48,100
3,-28,-28,85
4,-26,-31,85
5,-13,-18,80
6,0,0,70
7,66,198,70
2,-29,-65,100
3,-29,-43,85
4,-30,-54,85
5,-15,-31,80
6,0,0,70
7,66,297,70
2,-24,-54,100
3,-30,-45,85
4,-24,-43,85
5,-19,-39,80
6,-2,-5,70
7,66,297,70
2,-23,-51,100
3,-28,-42,85
4,-25,-45,85
5,-18,-37,80
6,0,0,70
7,66,297,70
2,-32,-72,100
3,-30,-45,85
4,-24,-43,85
5,-19,-39,80
6,-4,-10,70
7,65,292,70
2,-30,-67,100
3,-29,-43,85
4,-28,-50,85
5,-18,-37,80
6,1,2,70
7,64,288,70
2,-30,-67,100
3,-20,-30,85
4,-29,-52,85
5,-22,-46,80
6,-3,-7,70
7,64,288,70
2,-27,-60,100
3,-34,-51,85
4,-30,-54,85
5,-17,-35,80
6,-4,-10,70
7,63,283,70
2,-32,-72,100
3,-25,-37,85
4,-28,-50,85
5,-16,-33,80
6,1,2,70
7,62,279,70
2,-31,-69,100
3,-35,-52,85
4,-24,-43,85
5,-19,-39,80
6,-4,-10,70
7,61,274,70
2,-30,-67,100
3,-25,-37,85
4,-28,-50,85
5,-16,-33,80
6,-1,-2,70
7,60,270,70
2,-33,-74,100
3,-24,-36,85
4,-32,-57,85
5,-16,-33,80
6,0,0,70
7,61,274,70
2,-26,-58,100
3,-32,-48,85
4,-29,-52,85
5,-17,-35,80
6,-2,-5,70
7,61,274,70
2,-29,-65,100
3,-26,-39,85
4,-32,-57,85
5,-15,-31,80
6,-2,-5,70
7,61,274,70
2,-34,-76,100
3,-30,-45,85
4,-24,-43,85
5,-13,-27,80
6,0,0,70
7,61,274,70
2,-32,-72,100
3,-26,-39,85
4,-26,-46,85
5,-17,-35,80
6,-3,-7,70
7,63,283,70
2,-24,-54,100
3,-26,-39,85
4,-25,-45,85
5,-15,-31,80
6,-1,-2,70
7,64,288,70
2,-29,-65,100
3,-20,-30,85
4,-21,-37,85
5,-19,-39,80
6,-2,-5,70
7,64,288,70
2,-27,-60,100
3,-20,-30,85
4,-24,-43,85
5,-18,-37,80
6,0,0,70
7,64,288,70
2,-29,-65,100
3,-32,-48,85
4,-27,-48,85
5,-12,-25,80
6,-3,-7,70
7,63,283,70
2,-33,-74,100
3,-27,-40,85
4,-31,-55,85
5,-16,-33,80
6,0,0,70
7,63,283,70
2,-27,-60,100
3,-22,-33,85
4,-21,-37,85
5,-19,-39,80
6,1,2,70
7,63,283,70
2,-34,-76,100
3,-31,-46,85
4,-29,-52,85
5,-17,-35,80
6,-4,-10,70
7,63,283,70
2,-33,-74,100
3,-33,-49,85
4,-22,-39,85
5,-16,-33,80
6,-3,-7,70
7,63,283,70
2,-31,-69,100
3,-31,-46,85
4,-23,-41,85
5,-13,-27,80
6,0,0,70
7,62,279,70
2,-30,-67,100
3,-31,-46,85
4,-27,-48,85
5,-17,-35,80
6,1,2,70
7,62,279,70
2,-30,-67,100
3,-28,-42,85
4,-30,-54,85
5,-20,-42,80
6,-1,-2,70
7,62,279,70
2,-32,-72,100
3,-23,-34,85
4,-22,-39,85
5,-19,-39,80
6,-4,-10,70
7,63,283,70
2,-33,-74,100
3,-29,-43,85
4,-26,-46,85
5,-20,-42,80
6,-2,-5,70
7,62,279,70
2,-34,-76,100
3,-25,-37,85
4,-27,-48,85
5,-18,-37,80
6,-3,-7,70
7,62,279,70
2,-35,-78,100
3,-22,-33,85
4,-32,-57,85
5,-19,-39,80
6,-4,-10,70
7,64,288,70
2,-37,-83,100
3,-31,-46,85
4,-31,-55,85
5,-20,-42,80
6,2,5,70
7,62,279,70
2,-28,-63,100
3,-33,-49,85
4,-28,-50,85
5,-14,-29,80
6,1,2,70
7,61,274,70
2,-35,-78,100
3,-27,-40,85
4,-31,-55,85
5,-14,-29,80
6,-4,-10,70
7,62,279,70
2,-30,-67,100
3,-28,-42,85
4,-25,-45,85
5,-16,-33,80
6,0,0,70
7,64,288,70
2,-21,-47,100
3,-26,-39,85
4,-27,-48,85
5,-19,-39,80
6,-2,-5,70
7,65,292,70
2,-22,-49,100
3,-19,-28,85
4,-27,-48,85
5,-17,-35,80
6,-3,-7,70
7,64,288,70
2,-24,-54,100
3,-29,-43,85
4,-26,-46,85
5,-15,-31,80
6,-1,-2,70
7,63,283,70
2,-28,-63,100
3,-30,-45,85
4,-28,-50,85
5,-19,-39,80
6,-2,-5,70
7,63,283,70
2,-28,-63,100
3,-28,-42,85
4,-27,-48,85
5,-16,-33,80
6,-6,-15,70
7,63,283,70
2,-29,-65,100
3,-29,-43,85
4,-28,-50,85
5,-14,-29,80
6,-1,-2,70
7,62,279,70
2,-39,-87,100
3,-26,-39,85
4,-29,-52,85
5,-23,-48,80
6,-2,-5,70
7,62,279,70
2,-33,-74,100
3,-29,-43,85
4,-20,-36,85
5,-20,-42,80
6,-7,-17,70
7,61,274,70
2,-34,-76,100
3,-31,-46,85
4,-26,-46,85
5,-16,-33,80
6,-3,-7,70
7,60,270,70
2,-32,-72,100
3,-32,-48,85
4,-25,-45,85
5,-19,-39,80
6,-1,-2,70
7,59,265,70
2,-36,-81,100
3,-26,-39,85
4,-27,-48,85
5,-14,-29,80
6,-4,-10,70
7,58,261,70
2,-27,-60,100
3,-33,-49,85
4,-29,-52,85
5,-16,-33,80
6,-2,-5,70
7,59,265,70
2,-24,-54,100
3,-24,-36,85
4,-27,-48,85
5,-15,-31,80
6,-2,-5,70
7,60,270,70
2,-27,-60,100
3,-24,-36,85
4,-25,-45,85
5,-21,-44,80
6,-2,-5,70
7,60,270,70
2,-31,-69,100
3,-26,-39,85
4,-29,-52,85
5,-19,-39,80
6,0,0,70
7,60,270,70
2,-29,-65,100
3,-29,-43,85
4,-26,-46,85
5,-16,-33,80
6,-2,-5,70
7,60,270,70
2,-27,-60,100
3,-22,-33,85
4,-30,-54,85
5,-19,-39,80
6,-2,-5,70
7,61,274,70
2,-22,-49,100
3,-28,-42,85
4,-32,-57,85
5,-20,-42,80
6,-1,-2,70
7,61,274,70
2,-26,-58,100
3,-29,-43,85
4,-28,-50,85
5,-17,-35,80
6,-3,-7,70
7,62,279,70
2,-22,-49,100
3,-36,-54,85
4,-29,-52,85
5,-19,-39,80
6,-1,-2,70
7,62,279,70
2,-18,-40,100
3,-29,-43,85
4,-21,-37,85
5,-16,-33,80
6,-4,-10,70
7,61,274,70
2,-26,-58,100
3,-26,-39,85
4,-26,-46,85
5,-17,-35,80
6,2,5,70
7,62,279,70
2,-32,-72,100
3,-33,-49,85
4,-26,-46,85
5,-14,-29,80
6,0,0,70
7,62,279,70
2,-30,-67,100
3,-30,-45,85
4,-31,-55,85
5,-20,-42,80
6,-3,-7,70
7,63,283,70
2,-37,-83,100
3,-25,-37,85
4,-29,-52,85
5,-18,-37,80
6,-3,-7,70
7,59,265,70
2,-25,-56,100
3,-14,-21,85
4,-16,-28,85
5,-13,-27,80
6,1,2,70
7,60,270,70
2,-27,-60,100
3,-29,-43,85
4,-25,-45,85
5,-19,-39,80
6,-4,-10,70
7,58,261,70
2,-31,-69,100
3,-29,-43,85
4,-25,-45,85
5,-12,-25,80
6,-3,-7,70
7,63,283,70
2,-35,-78,100
3,-22,-33,85
4,-27,-48,85
5,-17,-35,80
6,-4,-10,70
7,62,279,70
2,-24,-54,100
3,-27,-40,85
4,-23,-41,85
5,-18,-37,80
6,-2,-5,70
7,64,288,70
2,-26,-58,100
3,-27,-40,85
4,-26,-46,85
5,-12,-25,80
6,0,0,70
7,61,274,70
2,-29,-65,100
3,-23,-34,85
4,-21,-37,85
5,-20,-42,80
6,-4,-10,70
7,63,283,70
2,-26,-58,100
3,-23,-34,85
4,-17,-30,85
5,-15,-31,80
6,-3,-7,70
7,62,279,70
2,-33,-74,100
3,-22,-33,85
4,-24,-43,85
5,-16,-33,80
6,-2,-5,70
7,60,270,70
2,-30,-67,100
3,-19,-28,85
4,-30,-54,85
5,-18,-37,80
6,2,5,70
7,62,279,70
