OctaveIndex,OctaveValue,AdjustedOctaveValue,NoiseLevel,Timepoint,Frequency
5,-19,-26,80,28,10000hz
6,-5,-8,70,28,10000hz
7,29,87,70,28,10000hz
2,-27,-40,100,29,10000hz
3,-28,-28,85,29,10000hz
4,-27,-32,85,29,10000hz
5,-17,-23,80,29,10000hz
6,-2,-3,70,29,10000hz
7,28,84,70,29,10000hz
2,-31,-46,100,30,10000hz
3,-30,-30,85,30,10000hz
4,-25,-30,85,30,10000hz
5,-18,-25,80,30,10000hz
6,1,1,70,30,10000hz
7,29,87,70,30,10000hz
2,-29,-43,100,31,10000hz
3,-23,-23,85,31,10000hz
4,-31,-37,85,31,10000hz
5,-19,-26,80,31,10000hz
6,-2,-3,70,31,10000hz
7,30,90,70,31,10000hz
2,-35,-52,100,32,10000hz
3,-31,-31,85,32,10000hz
4,-22,-26,85,32,10000hz
5,-21,-29,80,32,10000hz
6,-3,-5,70,32,10000hz
7,34,102,70,32,10000hz
2,-26,-39,100,33,10000hz
3,-27,-27,85,33,10000hz
4,-28,-33,85,33,10000hz
5,-23,-32,80,33,10000hz
6,0,0,70,33,10000hz
7,35,105,70,33,10000hz
2,-32,-48,100,34,10000hz
3,-29,-29,85,34,10000hz
4,-26,-31,85,34,10000hz
5,-18,-25,80,34,10000hz
6,-3,-5,70,34,10000hz
7,35,105,70,34,10000hz
2,-29,-43,100,35,10000hz
3,-14,-14,85,35,10000hz
4,-26,-31,85,35,10000hz
5,-15,-21,80,35,10000hz
6,0,0,70,35,10000hz
7,30,90,70,35,10000hz
2,-27,-40,100,36,10000hz
3,-30,-30,85,36,10000hz
4,-24,-28,85,36,10000hz
5,-19,-26,80,36,10000hz
6,-1,-1,70,36,10000hz
7,26,78,70,36,10000hz
2,-32,-48,100,37,10000hz
3,-32,-32,85,37,10000hz
4,-25,-30,85,37,10000hz
5,-19,-26,80,37,10000hz
6,1,1,70,37,10000hz
7,37,111,70,37,10000hz
2,-30,-45,100,38,10000hz
3,-23,-23,85,38,10000hz
4,-27,-32,85,38,10000hz
5,-15,-21,80,38,10000hz
6,-5,-8,70,38,10000hz
7,41,123,70,38,10000hz
2,-20,-30,100,39,10000hz
3,-31,-31,85,39,10000hz
4,-34,-40,85,39,10000hz
5,-21,-29,80,39,10000hz
6,-3,-5,70,39,10000hz
7,31,93,70,39,10000hz
2,-24,-36,100,40,10000hz
3,-32,-32,85,40,10000hz
4,-26,-31,85,40,10000hz
5,-22,-30,80,40,10000hz
6,-3,-5,70,40,10000hz
7,23,69,70,40,10000hz
2,-33,-49,100,41,10000hz
3,-25,-25,85,41,10000hz
4,-25,-30,85,41,10000hz
5,-21,-29,80,41,10000hz
6,-1,-1,70,41,10000hz
7,19,57,70,41,10000hz
2,-30,-45,100,42,10000hz
3,-27,-27,85,42,10000hz
4,-29,-34,85,42,10000hz
5,-23,-32,80,42,10000hz
6,-2,-3,70,42,10000hz
7,30,90,70,42,10000hz
2,-24,-36,100,43,10000hz
3,-31,-31,85,43,10000hz
4,-24,-28,85,43,10000hz
5,-18,-25,80,43,10000hz
6,-2,-3,70,43,10000hz
7,38,114,70,43,10000hz
2,-22,-33,100,44,10000hz
3,-26,-26,85,44,10000hz
4,-29,-34,85,44,10000hz
5,-17,-23,80,44,10000hz
6,-4,-6,70,44,10000hz
7,41,123,70,44,10000hz
2,-27,-40,100,45,10000hz
3,-28,-28,85,45,10000hz
4,-21,-25,85,45,10000hz
5,-18,-25,80,45,10000hz
6,2,3,70,45,10000hz
7,40,120,70,45,10000hz
2,-25,-37,100,46,10000hz
3,-22,-22,85,46,10000hz
4,-23,-27,85,46,10000hz
5,-18,-25,80,46,10000hz
6,-1,-1,70,46,10000hz
7,36,108,70,46,10000hz
2,-25,-37,100,47,10000hz
3,-32,-32,85,47,10000hz
4,-31,-37,85,47,10000hz
5,-13,-18,80,47,10000hz
6,-2,-3,70,47,10000hz
7,29,87,70,47,10000hz
2,-31,-46,100,48,10000hz
3,-31,-31,85,48,10000hz
4,-30,-36,85,48,10000hz
5,-15,-21,80,48,10000hz
6,0,0,70,48,10000hz
7,20,60,70,48,10000hz
2,-32,-48,100,49,10000hz
3,-26,-26,85,49,10000hz
4,-18,-21,85,49,10000hz
5,-18,-25,80,49,10000hz
6,-1,-1,70,49,10000hz
7,17,51,70,49,10000hz
2,-27,-40,100,50,10000hz
3,-18,-18,85,50,10000hz
4,-28,-33,85,50,10000hz
5,-17,-23,80,50,10000hz
6,-3,-5,70,50,10000hz
7,17,51,70,50,10000hz
2,-36,-81,100,51,10000hz
3,-33,-49,85,51,10000hz
4,-27,-48,85,51,10000hz
5,-12,-25,80,51,10000hz
6,-2,-5,70,51,10000hz
7,22,99,70,51,10000hz
2,-33,-74,100,52,10000hz
3,-27,-40,85,52,10000hz
4,-27,-48,85,52,10000hz
5,-16,-33,80,52,10000hz
6,3,7,70,52,10000hz
7,8,36,70,52,10000hz
2,-28,-63,100,53,10000hz
3,-26,-39,85,53,10000hz
4,-20,-36,85,53,10000hz
5,-18,-37,80,53,10000hz
6,-5,-12,70,53,10000hz
7,41,184,70,53,10000hz
2,-27,-60,100,54,10000hz
3,-31,-46,85,54,10000hz
4,-25,-45,85,54,10000hz
5,-14,-29,80,54,10000hz
6,0,0,70,54,10000hz
7,30,135,70,54,10000hz
2,-31,-69,100,55,10000hz
3,-34,-51,85,55,10000hz
4,-26,-46,85,55,10000hz
5,-15,-31,80,55,10000hz
6,-1,-2,70,55,10000hz
7,12,54,70,55,10000hz
2,-23,-51,100,56,10000hz
3,-33,-49,85,56,10000hz
4,-30,-54,85,56,10000hz
5,-17,-35,80,56,10000hz
6,1,2,70,56,10000hz
7,34,153,70,56,10000hz
2,-30,-67,100,57,10000hz
3,-31,-46,85,57,10000hz
4,-31,-55,85,57,10000hz
5,-21,-44,80,57,10000hz
6,-1,-2,70,57,10000hz
7,12,54,70,57,10000hz
2,-29,-65,100,58,10000hz
3,-20,-30,85,58,10000hz
4,-31,-55,85,58,10000hz
5,-20,-42,80,58,10000hz
6,-2,-5,70,58,10000hz
7,46,207,70,58,10000hz
2,-29,-65,100,59,10000hz
3,-28,-42,85,59,10000hz
4,-28,-50,85,59,10000hz
5,-20,-42,80,59,10000hz
6,-1,-2,70,59,10000hz
7,20,90,70,59,10000hz
2,-28,-63,100,60,10000hz
3,-25,-37,85,60,10000hz
4,-24,-43,85,60,10000hz
5,-16,-33,80,60,10000hz
6,-1,-2,70,60,10000hz
7,29,130,70,60,10000hz
2,-28,-63,100,61,10000hz
3,-28,-42,85,61,10000hz
4,-24,-43,85,61,10000hz
5,-20,-42,80,61,10000hz
6,-1,-2,70,61,10000hz
7,36,162,70,61,10000hz
2,-32,-72,100,62,10000hz
3,-22,-33,85,62,10000hz
4,-32,-57,85,62,10000hz
5,-13,-27,80,62,10000hz
6,3,7,70,62,10000hz
7,33,148,70,62,10000hz
2,-26,-58,100,63,10000hz
3,-27,-40,85,63,10000hz
4,-30,-54,85,63,10000hz
5,-17,-35,80,63,10000hz
6,-1,-2,70,63,10000hz
7,42,189,70,63,10000hz
2,-21,-47,100,64,10000hz
3,-25,-37,85,64,10000hz
4,-30,-54,85,64,10000hz
5,-21,-44,80,64,10000hz
6,-4,-10,70,64,10000hz
7,25,112,70,64,10000hz
2,-27,-60,100,65,10000hz
3,-27,-40,85,65,10000hz
4,-30,-54,85,65,10000hz
5,-17,-35,80,65,10000hz
6,2,5,70,65,10000hz
7,38,171,70,65,10000hz
2,-29,-65,100,66,10000hz
3,-30,-45,85,66,10000hz
4,-28,-50,85,66,10000hz
5,-19,-39,80,66,10000hz
6,-5,-12,70,66,10000hz
7,27,121,70,66,10000hz
2,-35,-78,100,67,10000hz
3,-29,-43,85,67,10000hz
4,-29,-52,85,67,10000hz
5,-23,-48,80,67,10000hz
6,-5,-12,70,67,10000hz
7,34,153,70,67,10000hz
2,-30,-67,100,68,10000hz
3,-25,-37,85,68,10000hz
4,-26,-46,85,68,10000hz
5,-16,-33,80,68,10000hz
6,-1,-2,70,68,10000hz
7,37,166,70,68,10000hz
2,-25,-56,100,69,10000hz
3,-29,-43,85,69,10000hz
4,-27,-48,85,69,10000hz
5,-19,-39,80,69,10000hz
6,-3,-7,70,69,10000hz
7,40,180,70,69,10000hz
2,-31,-69,100,70,10000hz
3,-27,-40,85,70,10000hz
4,-23,-41,85,70,10000hz
5,-14,-29,80,70,10000hz
6,0,0,70,70,10000hz
7,32,144,70,70,10000hz
2,-23,-51,100,71,10000hz
3,-24,-36,85,71,10000hz
4,-27,-48,85,71,10000hz
5,-17,-35,80,71,10000hz
6,-4,-10,70,71,10000hz
7,23,103,70,71,10000hz
2,-28,-63,100,72,10000hz
3,-26,-39,85,72,10000hz
4,-26,-46,85,72,10000hz
5,-17,-35,80,72,10000hz
6,1,2,70,72,10000hz
7,14,63,70,72,10000hz
2,-31,-69,100,73,10000hz
3,-31,-46,85,73,10000hz
4,-29,-52,85,73,10000hz
5,-18,-37,80,73,10000hz
6,-2,-5,70,73,10000hz
7,11,49,70,73,10000hz
2,-32,-72,100,74,10000hz
3,-21,-31,85,74,10000hz
4,-31,-55,85,74,10000hz
5,-18,-37,80,74,10000hz
6,0,0,70,74,10000hz
7,5,22,70,74,10000hz
2,-30,-67,100,75,10000hz
3,-26,-39,85,75,10000hz
4,-27,-48,85,75,10000hz
5,-17,-35,80,75,10000hz
6,3,7,70,75,10000hz
7,18,81,70,75,10000hz
2,-31,-69,100,76,10000hz
3,-30,-45,85,76,10000hz
4,-28,-50,85,76,10000hz
5,-16,-33,80,76,10000hz
6,3,7,70,76,10000hz
7,19,85,70,76,10000hz
2,-18,-40,100,77,10000hz
3,-28,-42,85,77,10000hz
4,-29,-52,85,77,10000hz
5,-20,-42,80,77,10000hz
6,-3,-7,70,77,10000hz
7,23,103,70,77,10000hz
2,-35,-78,100,78,10000hz
3,-28,-42,85,78,10000hz
4,-28,-50,85,78,10000hz
5,-14,-29,80,78,10000hz
6,2,5,70,78,10000hz
7,17,76,70,78,10000hz
2,-22,-49,100,79,10000hz
3,-32,-48,85,79,10000hz
4,-30,-54,85,79,10000hz
5,-18,-37,80,79,10000hz
6,-3,-7,70,79,10000hz
7,7,31,70,79,10000hz
2,-30,-67,100,80,10000hz
3,-28,-42,85,80,10000hz
4,-29,-52,85,80,10000hz
5,-20,-42,80,80,10000hz
6,-4,-10,70,80,10000hz
7,11,49,70,80,10000hz
2,-33,-74,100,81,10000hz
3,-25,-37,85,81,10000hz
4,-16,-28,85,81,10000hz
5,-2,-4,80,81,10000hz
6,14,35,70,81,10000hz
7,10,45,70,81,10000hz
2,-28,-63,100,82,10000hz
3,-34,-51,85,82,10000hz
4,-26,-46,85,82,10000hz
5,-15,-31,80,82,10000hz
6,-1,-2,70,82,10000hz
7,21,94,70,82,10000hz
2,-32,-72,100,83,10000hz
3,-21,-31,85,83,10000hz
4,-25,-45,85,83,10000hz
5,-15,-31,80,83,10000hz
6,-2,-5,70,83,10000hz
7,8,36,70,83,10000hz
2,-27,-60,100,84,10000hz
3,-26,-39,85,84,10000hz
4,-23,-41,85,84,10000hz
5,-14,-29,80,84,10000hz
6,2,5,70,84,10000hz
7,13,58,70,84,10000hz
2,-38,-85,100,85,10000hz
3,-23,-34,85,85,10000hz
4,-21,-37,85,85,10000hz
5,-18,-37,80,85,10000hz
6,2,5,70,85,10000hz
7,23,103,70,85,10000hz
2,-25,-56,100,86,10000hz
3,-30,-45,85,86,10000hz
4,-29,-52,85,86,10000hz
5,-13,-27,80,86,10000hz
6,4,10,70,86,10000hz
7,21,94,70,86,10000hz
2,-33,-74,100,87,10000hz
3,-30,-45,85,87,10000hz
4,-28,-50,85,87,10000hz
5,-16,-33,80,87,10000hz
6,-4,-10,70,87,10000hz
7,26,117,70,87,10000hz
2,-32,-72,100,88,10000hz
3,-28,-42,85,88,10000hz
4,-26,-46,85,88,10000hz
5,-15,-31,80,88,10000hz
6,1,2,70,88,10000hz
