OctaveIndex,OctaveValue,AdjustedOctaveValue,NoiseLevel,Timepoint,Frequency
6,-1,-1,70,16,1000hz
7,8,24,70,16,1000hz
2,-26,-39,100,17,1000hz
3,78,78,85,17,1000hz
4,44,52,85,17,1000hz
5,-18,-25,80,17,1000hz
6,3,5,70,17,1000hz
7,4,12,70,17,1000hz
2,-28,-42,100,18,1000hz
3,79,79,85,18,1000hz
4,44,52,85,18,1000hz
5,-17,-23,80,18,1000hz
6,-4,-6,70,18,1000hz
7,8,24,70,18,1000hz
2,-24,-36,100,19,1000hz
3,80,80,85,19,1000hz
4,45,54,85,19,1000hz
5,-21,-29,80,19,1000hz
6,1,1,70,19,1000hz
7,4,12,70,19,1000hz
2,-24,-36,100,20,1000hz
3,81,81,85,20,1000hz
4,45,54,85,20,1000hz
5,-16,-22,80,20,1000hz
6,-3,-5,70,20,1000hz
7,3,9,70,20,1000hz
2,-26,-39,100,21,1000hz
3,80,80,85,21,1000hz
4,46,55,85,21,1000hz
5,-17,-23,80,21,1000hz
6,-1,-1,70,21,1000hz
7,4,12,70,21,1000hz
2,-27,-40,100,22,1000hz
3,80,80,85,22,1000hz
4,46,55,85,22,1000hz
5,-18,-25,80,22,1000hz
6,-3,-5,70,22,1000hz
7,3,9,70,22,1000hz
2,-23,-34,100,23,1000hz
3,80,80,85,23,1000hz
4,45,54,85,23,1000hz
5,-19,-26,80,23,1000hz
6,-3,-5,70,23,1000hz
7,5,15,70,23,1000hz
2,-29,-43,100,24,1000hz
3,80,80,85,24,1000hz
4,45,54,85,24,1000hz
5,-16,-22,80,24,1000hz
6,-1,-1,70,24,1000hz
7,2,6,70,24,1000hz
2,-30,-45,100,25,1000hz
3,80,80,85,25,1000hz
4,46,55,85,25,1000hz
5,-19,-26,80,25,1000hz
6,1,1,70,25,1000hz
7,3,9,70,25,1000hz
2,-35,-52,100,26,1000hz
3,81,81,85,26,1000hz
4,46,55,85,26,1000hz
5,-13,-18,80,26,1000hz
6,1,1,70,26,1000hz
7,4,12,70,26,1000hz
2,-33,-49,100,27,1000hz
3,81,81,85,27,1000hz
4,46,55,85,27,1000hz
5,-16,-22,80,27,1000hz
6,-1,-1,70,27,1000hz
7,3,9,70,27,1000hz
2,-25,-37,100,28,1000hz
3,81,81,85,28,1000hz
4,47,56,85,28,1000hz
5,-16,-22,80,28,1000hz
6,-5,-8,70,28,1000hz
7,5,15,70,28,1000hz
2,-37,-55,100,29,1000hz
3,81,81,85,29,1000hz
4,46,55,85,29,1000hz
5,-20,-28,80,29,1000hz
6,1,1,70,29,1000hz
7,5,15,70,29,1000hz
2,-36,-54,100,30,1000hz
3,81,81,85,30,1000hz
4,46,55,85,30,1000hz
5,-15,-21,80,30,1000hz
6,0,0,70,30,1000hz
7,5,15,70,30,1000hz
2,-53,-79,100,31,1000hz
3,81,81,85,31,1000hz
4,47,56,85,31,1000hz
5,-12,-16,80,31,1000hz
6,0,0,70,31,1000hz
7,2,6,70,31,1000hz
2,-53,-79,100,32,1000hz
3,81,81,85,32,1000hz
4,47,56,85,32,1000hz
5,-21,-29,80,32,1000hz
6,-4,-6,70,32,1000hz
7,5,15,70,32,1000hz
2,-38,-57,100,33,1000hz
3,81,81,85,33,1000hz
4,47,56,85,33,1000hz
5,-18,-25,80,33,1000hz
6,-2,-3,70,33,1000hz
7,5,15,70,33,1000hz
2,-35,-52,100,34,1000hz
3,82,82,85,34,1000hz
4,47,56,85,34,1000hz
5,-17,-23,80,34,1000hz
6,-3,-5,70,34,1000hz
7,4,12,70,34,1000hz
2,-33,-49,100,35,1000hz
3,82,82,85,35,1000hz
4,47,56,85,35,1000hz
5,-21,-29,80,35,1000hz
6,-3,-5,70,35,1000hz
7,5,15,70,35,1000hz
2,-28,-42,100,36,1000hz
3,82,82,85,36,1000hz
4,47,56,85,36,1000hz
5,-17,-23,80,36,1000hz
6,-1,-1,70,36,1000hz
7,4,12,70,36,1000hz
2,-24,-36,100,37,1000hz
3,82,82,85,37,1000hz
4,47,56,85,37,1000hz
5,-15,-21,80,37,1000hz
6,-3,-5,70,37,1000hz
7,5,15,70,37,1000hz
2,-22,-33,100,38,1000hz
3,82,82,85,38,1000hz
4,47,56,85,38,1000hz
5,-16,-22,80,38,1000hz
6,-4,-6,70,38,1000hz
7,6,18,70,38,1000hz
2,-24,-36,100,39,1000hz
3,81,81,85,39,1000hz
4,47,56,85,39,1000hz
5,-17,-23,80,39,1000hz
6,-7,-11,70,39,1000hz
7,4,12,70,39,1000hz
2,-32,-48,100,40,1000hz
3,81,81,85,40,1000hz
4,47,56,85,40,1000hz
5,-16,-22,80,40,1000hz
6,0,0,70,40,1000hz
7,5,15,70,40,1000hz
2,-34,-51,100,41,1000hz
3,81,81,85,41,1000hz
4,47,56,85,41,1000hz
5,-15,-21,80,41,1000hz
6,-4,-6,70,41,1000hz
7,4,12,70,41,1000hz
2,-42,-63,100,42,1000hz
3,81,81,85,42,1000hz
4,47,56,85,42,1000hz
5,-16,-22,80,42,1000hz
6,-2,-3,70,42,1000hz
7,6,18,70,42,1000hz
2,-31,-46,100,43,1000hz
3,81,81,85,43,1000hz
4,47,56,85,43,1000hz
5,-18,-25,80,43,1000hz
6,-3,-5,70,43,1000hz
7,5,15,70,43,1000hz
2,-37,-55,100,44,1000hz
3,81,81,85,44,1000hz
4,47,56,85,44,1000hz
5,-14,-19,80,44,1000hz
6,-2,-3,70,44,1000hz
7,5,15,70,44,1000hz
2,-22,-33,100,45,1000hz
3,81,81,85,45,1000hz
4,47,56,85,45,1000hz
5,-16,-22,80,45,1000hz
6,2,3,70,45,1000hz
7,8,24,70,45,1000hz
2,-28,-42,100,46,1000hz
3,82,82,85,46,1000hz
4,47,56,85,46,1000hz
5,-16,-22,80,46,1000hz
6,1,1,70,46,1000hz
7,4,12,70,46,1000hz
2,-36,-54,100,47,1000hz
3,81,81,85,47,1000hz
4,47,56,85,47,1000hz
5,-13,-18,80,47,1000hz
6,0,0,70,47,1000hz
7,4,12,70,47,1000hz
2,-26,-39,100,48,1000hz
3,81,81,85,48,1000hz
4,46,55,85,48,1000hz
5,-16,-22,80,48,1000hz
6,1,1,70,48,1000hz
7,3,9,70,48,1000hz
2,-32,-48,100,49,1000hz
3,81,81,85,49,1000hz
4,46,55,85,49,1000hz
5,-24,-33,80,49,1000hz
6,0,0,70,49,1000hz
7,3,9,70,49,1000hz
2,-28,-42,100,50,1000hz
3,81,81,85,50,1000hz
4,46,55,85,50,1000hz
5,-19,-26,80,50,1000hz
6,-1,-1,70,50,1000hz
7,3,9,70,50,1000hz
2,-32,-72,100,51,1000hz
3,81,121,85,51,1000hz
4,46,82,85,51,1000hz
5,-18,-37,80,51,1000hz
6,-3,-7,70,51,1000hz
7,3,13,70,51,1000hz
2,-28,-63,100,52,1000hz
3,80,120,85,52,1000hz
4,45,81,85,52,1000hz
5,-16,-33,80,52,1000hz
6,-4,-10,70,52,1000hz
7,6,27,70,52,1000hz
2,-43,-96,100,53,1000hz
3,81,121,85,53,1000hz
4,46,82,85,53,1000hz
5,-16,-33,80,53,1000hz
6,-1,-2,70,53,1000hz
7,7,31,70,53,1000hz
2,-34,-76,100,54,1000hz
3,81,121,85,54,1000hz
4,46,82,85,54,1000hz
5,-21,-44,80,54,1000hz
6,-5,-12,70,54,1000hz
7,5,22,70,54,1000hz
2,-36,-81,100,55,1000hz
3,81,121,85,55,1000hz
4,46,82,85,55,1000hz
5,-14,-29,80,55,1000hz
6,-3,-7,70,55,1000hz
7,6,27,70,55,1000hz
2,-26,-58,100,56,1000hz
3,81,121,85,56,1000hz
4,46,82,85,56,1000hz
5,-17,-35,80,56,1000hz
6,-1,-2,70,56,1000hz
7,4,18,70,56,1000hz
2,-24,-54,100,57,1000hz
3,81,121,85,57,1000hz
4,46,82,85,57,1000hz
5,-14,-29,80,57,1000hz
6,-6,-15,70,57,1000hz
7,3,13,70,57,1000hz
2,-22,-49,100,58,1000hz
3,81,121,85,58,1000hz
4,46,82,85,58,1000hz
5,-18,-37,80,58,1000hz
6,0,0,70,58,1000hz
7,5,22,70,58,1000hz
2,-22,-49,100,59,1000hz
3,81,121,85,59,1000hz
4,47,84,85,59,1000hz
5,-18,-37,80,59,1000hz
6,-4,-10,70,59,1000hz
7,3,13,70,59,1000hz
2,-29,-65,100,60,1000hz
3,81,121,85,60,1000hz
4,46,82,85,60,1000hz
5,-18,-37,80,60,1000hz
6,-2,-5,70,60,1000hz
7,6,27,70,60,1000hz
2,-43,-96,100,61,1000hz
3,81,121,85,61,1000hz
4,46,82,85,61,1000hz
5,-17,-35,80,61,1000hz
6,0,0,70,61,1000hz
7,8,36,70,61,1000hz
2,-32,-72,100,62,1000hz
3,81,121,85,62,1000hz
4,46,82,85,62,1000hz
5,-17,-35,80,62,1000hz
6,-1,-2,70,62,1000hz
7,5,22,70,62,1000hz
2,-33,-74,100,63,1000hz
3,81,121,85,63,1000hz
4,46,82,85,63,1000hz
5,-19,-39,80,63,1000hz
6,-2,-5,70,63,1000hz
7,7,31,70,63,1000hz
2,-23,-51,100,64,1000hz
3,81,121,85,64,1000hz
4,46,82,85,64,1000hz
5,-17,-35,80,64,1000hz
6,-3,-7,70,64,1000hz
7,0,0,70,64,1000hz
2,-22,-49,100,65,1000hz
3,81,121,85,65,1000hz
4,46,82,85,65,1000hz
5,-17,-35,80,65,1000hz
6,1,2,70,65,1000hz
7,4,18,70,65,1000hz
2,-19,-42,100,66,1000hz
3,81,121,85,66,1000hz
4,46,82,85,66,1000hz
5,-18,-37,80,66,1000hz
6,-1,-2,70,66,1000hz
7,8,36,70,66,1000hz
2,-19,-42,100,67,1000hz
3,81,121,85,67,1000hz
4,46,82,85,67,1000hz
5,-19,-39,80,67,1000hz
6,-1,-2,70,67,1000hz
7,2,9,70,67,1000hz
2,-32,-72,100,68,1000hz
3,81,121,85,68,1000hz
4,47,84,85,68,1000hz
5,-18,-37,80,68,1000hz
6,-2,-5,70,68,1000hz
7,2,9,70,68,1000hz
2,-36,-81,100,69,1000hz
3,81,121,85,69,1000hz
4,46,82,85,69,1000hz
5,-20,-42,80,69,1000hz
6,-5,-12,70,69,1000hz
7,2,9,70,69,1000hz
2,-33,-74,100,70,1000hz
3,81,121,85,70,1000hz
4,47,84,85,70,1000hz
5,-15,-31,80,70,1000hz
6,1,2,70,70,1000hz
7,3,13,70,70,1000hz
2,-27,-60,100,71,1000hz
3,81,121,85,71,1000hz
4,47,84,85,71,1000hz
5,-13,-27,80,71,1000hz
6,-2,-5,70,71,1000hz
7,5,22,70,71,1000hz
2,-35,-78,100,72,1000hz
3,82,123,85,72,1000hz
4,47,84,85,72,1000hz
5,-18,-37,80,72,1000hz
6,-1,-2,70,72,1000hz
7,1,4,70,72,1000hz
2,-28,-63,100,73,1000hz
3,82,123,85,73,1000hz
4,47,84,85,73,1000hz
5,-22,-46,80,73,1000hz
6,-1,-2,70,73,1000hz
7,4,18,70,73,1000hz
2,-20,-45,100,74,1000hz
3,82,123,85,74,1000hz
4,47,84,85,74,1000hz
5,-20,-42,80,74,1000hz
6,-2,-5,70,74,1000hz
7,6,27,70,74,1000hz
2,-19,-42,100,75,1000hz
3,82,123,85,75,1000hz
4,47,84,85,75,1000hz
5,-18,-37,80,75,1000hz
6,0,0,70,75,1000hz
7,3,13,70,75,1000hz
2,-29,-65,100,76,1000hz
3,83,124,85,76,1000hz
4,48,86,85,76,1000hz
5,-16,-33,80,76,1000hz
6,-1,-2,70,76,1000hz
7,5,22,70,76,1000hz
2,-31,-69,100,77,1000hz
3,82,123,85,77,1000hz
4,48,86,85,77,1000hz
5,-18,-37,80,77,1000hz
6,-2,-5,70,77,1000hz
7,8,36,70,77,1000hz
2,-41,-92,100,78,1000hz
3,74,111,85,78,1000hz
4,40,72,85,78,1000hz
5,-20,-42,80,78,1000hz
6,-2,-5,70,78,1000hz
7,6,27,70,78,1000hz
2,-36,-81,100,79,1000hz
3,76,114,85,79,1000hz
4,41,73,85,79,1000hz
5,-15,-31,80,79,1000hz
6,-1,-2,70,79,1000hz
7,6,27,70,79,1000hz
2,-27,-60,100,80,1000hz
3,77,115,85,80,1000hz
4,42,75,85,80,1000hz
5,-16,-33,80,80,1000hz
6,0,0,70,80,1000hz
7,6,27,70,80,1000hz
2,-28,-63,100,81,1000hz
3,77,115,85,81,1000hz
4,42,75,85,81,1000hz
5,-13,-27,80,81,1000hz
6,0,0,70,81,1000hz
7,5,22,70,81,1000hz
2,-23,-51,100,82,1000hz
3,76,114,85,82,1000hz
4,41,73,85,82,1000hz
5,-22,-46,80,82,1000hz
6,-3,-7,70,82,1000hz
7,8,36,70,82,1000hz
2,-26,-58,100,83,1000hz
3,76,114,85,83,1000hz
4,41,73,85,83,1000hz
5,-15,-31,80,83,1000hz
6,1,2,70,83,1000hz
7,6,27,70,83,1000hz
2,-25,-56,100,84,1000hz
3,76,114,85,84,1000hz
4,41,73,85,84,1000hz
5,-19,-39,80,84,1000hz
6,-1,-2,70,84,1000hz
7,9,40,70,84,1000hz
2,-35,-78,100,85,1000hz
3,76,114,85,85,1000hz
4,42,75,85,85,1000hz
5,-20,-42,80,85,1000hz
6,0,0,70,85,1000hz
7,6,27,70,85,1000hz
2,-26,-58,100,86,1000hz
3,76,114,85,86,1000hz
4,42,75,85,86,1000hz
5,-16,-33,80,86,1000hz
6,-4,-10,70,86,1000hz
7,7,31,70,86,1000hz
2,-38,-85,100,87,1000hz
3,76,114,85,87,1000hz
4,42,75,85,87,1000hz
5,-16,-33,80,87,1000hz
6,0,0,70,87,1000hz
7,5,22,70,87,1000hz
2,-39,-87,100,88,1000hz
3,76,114,85,88,1000hz
4,41,73,85,88,1000hz
5,-15,-31,80,88,1000hz
6,0,0,70,88,1000hz
7,5,22,70,88,1000hz
2,-39,-87,100,89,1000hz
3,76,114,85,89,1000hz
4,42,75,85,89,1000hz
5,-18,-37,80,89,1000hz
6,-3,-7,70,89,1000hz
7,4,18,70,89,1000hz
2,-31,-69,100,90,1000hz
3,75,112,85,90,1000hz
4,40,72,85,90,1000hz
5,-21,-44,80,90,1000hz
6,-5,-12,70,90,1000hz
7,5,22,70,90,1000hz
2,-24,-54,100,91,1000hz
3,74,111,85,91,1000hz
4,39,70,85,91,1000hz
5,-19,-39,80,91,1000hz
6,-2,-5,70,91,1000hz
7,5,22,70,91,1000hz
2,-30,-67,100,92,1000hz
3,74,111,85,92,1000hz
4,39,70,85,92,1000hz
5,-15,-31,80,92,1000hz
6,-5,-12,70,92,1000hz
7,4,18,70,92,1000hz
2,-33,-74,100,93,1000hz
3,74,111,85,93,1000hz
4,39,70,85,93,1000hz
5,-18,-37,80,93,1000hz
6,0,0,70,93,1000hz
7,6,27,70,93,1000hz
2,-27,-60,100,94,1000hz
3,73,109,85,94,1000hz
4,39,70,85,94,1000hz
5,-13,-27,80,94,1000hz
6,-1,-2,70,94,1000hz
7,4,18,70,94,1000hz
2,-22,-49,100,95,1000hz
3,73,109,85,95,1000hz
4,39,70,85,95,1000hz
5,-15,-31,80,95,1000hz
6,-1,-2,70,95,1000hz
7,4,18,70,95,1000hz
2,-30,-67,100,96,1000hz
3,73,109,85,96,1000hz
4,39,70,85,96,1000hz
5,-16,-33,80,96,1000hz
6,-2,-5,70,96,1000hz
7,6,27,70,96,1000hz
2,-44,-99,100,97,1000hz
3,73,109,85,97,1000hz
4,39,70,85,97,1000hz
5,-18,-37,80,97,1000hz
6,-1,-2,70,97,1000hz
7,5,22,70,97,1000hz
2,-28,-63,100,98,1000hz
3,73,109,85,98,1000hz
4,38,68,85,98,1000hz
5,-18,-37,80,98,1000hz
6,1,2,70,98,1000hz
7,0,0,70,98,1000hz
2,-31,-69,100,99,1000hz
3,73,109,85,99,1000hz
4,38,68,85,99,1000hz
5,-18,-37,80,99,1000hz
6,0,0,70,99,1000hz
7,9,40,70,99,1000hz
2,-17,-38,100,100,1000hz
3,73,109,85,100,1000hz
4,38,68,85,100,1000hz
5,-22,-46,80,100,1000hz
6,-3,-7,70,100,1000hz
7,5,22,70,100,1000hz
2,-24,-54,100,101,1000hz
3,73,109,85,101,1000hz
4,39,70,85,101,1000hz
5,-17,-35,80,101,1000hz
6,-4,-10,70,101,1000hz
7,4,18,70,101,1000hz
2,-21,-47,100,102,1000hz
3,74,111,85,102,1000hz
4,38,68,85,102,1000hz
5,-19,-39,80,102,1000hz
6,-6,-15,70,102,1000hz
7,5,22,70,102,1000hz
2,-22,-49,100,103,1000hz
3,74,111,85,103,1000hz
4,39,70,85,103,1000hz
5,-20,-42,80,103,1000hz
6,-5,-12,70,103,1000hz
7,6,27,70,103,1000hz
2,-30,-67,100,104,1000hz
3,74,111,85,104,1000hz
4,40,72,85,104,1000hz
5,-17,-35,80,104,1000hz
6,-1,-2,70,104,1000hz
7,5,22,70,104,1000hz
2,-28,-63,100,105,1000hz
3,74,111,85,105,1000hz
4,40,72,85,105,1000hz
5,-15,-31,80,105,1000hz
6,-3,-7,70,105,1000hz
7,6,27,70,105,1000hz
2,-28,-63,100,106,1000hz
3,74,111,85,106,1000hz
4,39,70,85,106,1000hz
5,-21,-44,80,106,1000hz
6,-2,-5,70,106,1000hz
7,4,18,70,106,1000hz
2,-24,-54,100,107,1000hz
3,74,111,85,107,1000hz
4,39,70,85,107,1000hz
5,-21,-44,80,107,1000hz
6,0,0,70,107,1000hz
7,7,31,70,107,1000hz
2,-22,-49,100,108,1000hz
3,74,111,85,108,1000hz
4,39,70,85,108,1000hz
5,-15,-31,80,108,1000hz
6,-2,-5,70,108,1000hz
7,8,36,70,108,1000hz
2,-25,-56,100,109,1000hz
3,74,111,85,109,1000hz
4,38,68,85,109,1000hz
5,-12,-25,80,109,1000hz
6,-3,-7,70,109,1000hz
7,3,13,70,109,1000hz
2,-21,-47,100,110,1000hz
3,74,111,85,110,1000hz
4,38,68,85,110,1000hz
5,-17,-35,80,110,1000hz
6,3,7,70,110,1000hz
7,4,18,70,110,1000hz
2,-25,-56,100,111,1000hz
3,74,111,85,111,1000hz
4,39,70,85,111,1000hz
5,-15,-31,80,111,1000hz
6,0,0,70,111,1000hz
7,4,18,70,111,1000hz
2,-27,-60,100,112,1000hz
3,74,111,85,112,1000hz
4,39,70,85,112,1000hz
5,-13,-27,80,112,1000hz
6,-2,-5,70,112,1000hz
7,9,40,70,112,1000hz
2,-33,-74,100,113,1000hz
3,74,111,85,113,1000hz
4,40,72,85,113,1000hz
5,-17,-35,80,113,1000hz
6,-1,-2,70,113,1000hz
7,10,45,70,113,1000hz
2,-41,-92,100,114,1000hz
3,74,111,85,114,1000hz
4,40,72,85,114,1000hz
5,-20,-42,80,114,1000hz
6,-1,-2,70,114,1000hz
7,1,4,70,114,1000hz
2,-35,-78,100,115,1000hz
3,74,111,85,115,1000hz
4,39,70,85,115,1000hz
5,-18,-37,80,115,1000hz
6,-1,-2,70,115,1000hz
7,3,13,70,115,1000hz
2,-26,-58,100,116,1000hz
3,74,111,85,116,1000hz
4,39,70,85,116,1000hz
5,-18,-37,80,116,1000hz
6,-3,-7,70,116,1000hz
7,8,36,70,116,1000hz
2,-25,-56,100,117,1000hz
3,74,111,85,117,1000hz
4,39,70,85,117,1000hz
5,-18,-37,80,117,1000hz
6,-1,-2,70,117,1000hz
7,5,22,70,117,1000hz
2,-19,-42,100,118,1000hz
3,74,111,85,118,1000hz
4,39,70,85,118,1000hz
5,-19,-39,80,118,1000hz
6,-5,-12,70,118,1000hz
7,6,27,70,118,1000hz
2,-36,-81,100,119,1000hz
3,74,111,85,119,1000hz
4,39,70,85,119,1000hz
5,-16,-33,80,119,1000hz
6,-4,-10,70,119,1000hz
7,1,4,70,119,1000hz
2,-36,-81,100,120,1000hz
3,74,111,85,120,1000hz
4,39,70,85,120,1000hz
5,-20,-42,80,120,1000hz
6,-1,-2,70,120,1000hz
7,2,9,70,120,1000hz
2,-40,-90,100,121,1000hz
3,74,111,85,121,1000hz
4,39,70,85,121,1000hz
5,-17,-35,80,121,1000hz
6,-1,-2,70,121,1000hz
7,7,31,70,121,1000hz
2,-35,-78,100,122,1000hz
3,74,111,85,122,1000hz
4,39,70,85,122,1000hz
5,-10,-21,80,122,1000hz
6,1,2,70,122,1000hz
7,4,18,70,122,1000hz
2,-41,-92,100,123,1000hz
3,74,111,85,123,1000hz
4,39,70,85,123,1000hz
5,-14,-29,80,123,1000hz
6,-3,-7,70,123,1000hz
7,2,9,70,123,1000hz
2,11,16,100,1,100hz
3,-34,-34,85,1,100hz
4,-21,-25,85,1,100hz
5,-17,-23,80,1,100hz
6,0,0,70,1,100hz
7,5,15,70,1,100hz
2,12,18,100,2,100hz
3,-21,-21,85,2,100hz
4,-18,-21,85,2,100hz
5,-17,-23,80,2,100hz
6,-2,-3,70,2,100hz
7,2,6,70,2,100hz
2,10,15,100,3,100hz
3,-18,-18,85,3,100hz
4,-29,-34,85,3,100hz
5,-16,-22,80,3,100hz
6,-3,-5,70,3,100hz
7,6,18,70,3,100hz
2,12,18,100,4,100hz
3,-16,-16,85,4,100hz
4,-33,-39,85,4,100hz
5,-19,-26,80,4,100hz
6,-4,-6,70,4,100hz
7,6,18,70,4,100hz
2,12,18,100,5,100hz
3,-28,-28,85,5,100hz
4,-24,-28,85,5,100hz
5,-17,-23,80,5,100hz
6,-2,-3,70,5,100hz
7,7,21,70,5,100hz
2,9,13,100,6,100hz
3,-22,-22,85,6,100hz
4,-22,-26,85,6,100hz
5,-16,-22,80,6,100hz
6,-1,-1,70,6,100hz
7,2,6,70,6,100hz
2,1,1,100,7,100hz
3,-30,-30,85,7,100hz
4,-21,-25,85,7,100hz
5,-15,-21,80,7,100hz
6,-3,-5,70,7,100hz
7,3,9,70,7,100hz
2,10,15,100,8,100hz
3,-35,-35,85,8,100hz
4,-33,-39,85,8,100hz
5,-20,-28,80,8,100hz
6,-4,-6,70,8,100hz
7,4,12,70,8,100hz
2,10,15,100,9,100hz
3,-37,-37,85,9,100hz
4,-25,-30,85,9,100hz
5,-16,-22,80,9,100hz
6,-3,-5,70,9,100hz
7,6,18,70,9,100hz
2,7,10,100,10,100hz
3,-30,-30,85,10,100hz
4,-28,-33,85,10,100hz
5,-17,-23,80,10,100hz
6,-1,-1,70,10,100hz
7,4,12,70,10,100hz
2,12,18,100,11,100hz
3,-36,-36,85,11,100hz
4,-34,-40,85,11,100hz
5,-19,-26,80,11,100hz
6,-1,-1,70,11,100hz
7,5,15,70,11,100hz
2,11,16,100,12,100hz
3,-34,-34,85,12,100hz
4,-31,-37,85,12,100hz
5,-18,-25,80,12,100hz
6,-2,-3,70,12,100hz
7,4,12,70,12,100hz
2,10,15,100,13,100hz
3,-29,-29,85,13,100hz
4,-24,-28,85,13,100hz
5,-22,-30,80,13,100hz
6,-1,-1,70,13,100hz
7,3,9,70,13,100hz
2,12,18,100,14,100hz
3,-27,-27,85,14,100hz
4,-25,-30,85,14,100hz
5,-14,-19,80,14,100hz
6,0,0,70,14,100hz
7,6,18,70,14,100hz
2,12,18,100,15,100hz
3,-27,-27,85,15,100hz
4,-23,-27,85,15,100hz
5,-16,-22,80,15,100hz
6,-4,-6,70,15,100hz
7,8,24,70,15,100hz
2,11,16,100,16,100hz
3,-26,-26,85,16,100hz
4,-21,-25,85,16,100hz
5,-16,-22,80,16,100hz
6,5,8,70,16,100hz
7,7,21,70,16,100hz
2,11,16,100,17,100hz
3,-25,-25,85,17,100hz
4,-25,-30,85,17,100hz
5,-23,-32,80,17,100hz
6,-2,-3,70,17,100hz
7,6,18,70,17,100hz
2,11,16,100,18,100hz
3,-27,-27,85,18,100hz
4,-25,-30,85,18,100hz
5,-18,-25,80,18,100hz
6,-1,-1,70,18,100hz
7,1,3,70,18,100hz
2,11,16,100,19,100hz
3,-19,-19,85,19,100hz
4,-32,-38,85,19,100hz
5,-15,-21,80,19,100hz
6,-3,-5,70,19,100hz
7,6,18,70,19,100hz
2,11,16,100,20,100hz
3,-22,-22,85,20,100hz
4,-26,-31,85,20,100hz
5,-14,-19,80,20,100hz
6,-1,-1,70,20,100hz
7,2,6,70,20,100hz
2,10,15,100,21,100hz
3,-24,-24,85,21,100hz
4,-31,-37,85,21,100hz
5,-16,-22,80,21,100hz
6,-6,-10,70,21,100hz
7,5,15,70,21,100hz
2,14,21,100,22,100hz
3,-23,-23,85,22,100hz
4,-28,-33,85,22,100hz
5,-20,-28,80,22,100hz
6,-2,-3,70,22,100hz
7,6,18,70,22,100hz
2,12,18,100,23,100hz
3,-19,-19,85,23,100hz
4,-28,-33,85,23,100hz
5,-20,-28,80,23,100hz
6,-4,-6,70,23,100hz
7,4,12,70,23,100hz
2,10,15,100,24,100hz
3,-22,-22,85,24,100hz
4,-24,-28,85,24,100hz
5,-20,-28,80,24,100hz
6,-5,-8,70,24,100hz
7,4,12,70,24,100hz
2,10,15,100,25,100hz
3,-21,-21,85,25,100hz
4,-18,-21,85,25,100hz
5,-15,-21,80,25,100hz
6,1,1,70,25,100hz
7,5,15,70,25,100hz
2,7,10,100,26,100hz
3,-24,-24,85,26,100hz
4,-25,-30,85,26,100hz
5,-15,-21,80,26,100hz
6,-5,-8,70,26,100hz
7,5,15,70,26,100hz
2,2,3,100,27,100hz
3,-28,-28,85,27,100hz
4,-24,-28,85,27,100hz
5,-19,-26,80,27,100hz
6,-2,-3,70,27,100hz
7,4,12,70,27,100hz
2,-3,-4,100,28,100hz
3,-33,-33,85,28,100hz
4,-25,-30,85,28,100hz
5,-19,-26,80,28,100hz
6,-2,-3,70,28,100hz
7,5,15,70,28,100hz
2,1,1,100,29,100hz
3,-31,-31,85,29,100hz
4,-29,-34,85,29,100hz
5,-16,-22,80,29,100hz
6,-2,-3,70,29,100hz
7,5,15,70,29,100hz
2,13,19,100,30,100hz
3,-27,-27,85,30,100hz
4,-25,-30,85,30,100hz
5,-19,-26,80,30,100hz
6,3,5,70,30,100hz
7,6,18,70,30,100hz
2,11,16,100,31,100hz
3,-29,-29,85,31,100hz
4,-30,-36,85,31,100hz
5,-17,-23,80,31,100hz
6,0,0,70,31,100hz
7,4,12,70,31,100hz
2,12,18,100,32,100hz
3,-20,-20,85,32,100hz
4,-25,-30,85,32,100hz
5,-15,-21,80,32,100hz
6,-1,-1,70,32,100hz
7,7,21,70,32,100hz
2,10,15,100,33,100hz
3,-23,-23,85,33,100hz
4,-24,-28,85,33,100hz
5,-16,-22,80,33,100hz
6,-3,-5,70,33,100hz
7,4,12,70,33,100hz
2,11,16,100,34,100hz
3,-28,-28,85,34,100hz
4,-28,-33,85,34,100hz
5,-20,-28,80,34,100hz
6,0,0,70,34,100hz
7,5,15,70,34,100hz
2,12,18,100,35,100hz
3,-23,-23,85,35,100hz
4,-26,-31,85,35,100hz
5,-17,-23,80,35,100hz
6,0,0,70,35,100hz
7,6,18,70,35,100hz
2,-3,-4,100,36,100hz
3,-27,-27,85,36,100hz
4,-31,-37,85,36,100hz
5,-22,-30,80,36,100hz
6,-4,-6,70,36,100hz
7,6,18,70,36,100hz
2,-5,-7,100,37,100hz
3,-29,-29,85,37,100hz
4,-28,-33,85,37,100hz
5,-15,-21,80,37,100hz
6,1,1,70,37,100hz
7,2,6,70,37,100hz
2,12,18,100,38,100hz
3,-25,-25,85,38,100hz
4,-27,-32,85,38,100hz
5,-16,-22,80,38,100hz
6,2,3,70,38,100hz
7,6,18,70,38,100hz
2,13,19,100,39,100hz
3,-27,-27,85,39,100hz
4,-29,-34,85,39,100hz
5,-16,-22,80,39,100hz
6,0,0,70,39,100hz
7,1,3,70,39,100hz
2,12,18,100,40,100hz
3,-20,-20,85,40,100hz
4,-25,-30,85,40,100hz
5,-19,-26,80,40,100hz
6,-1,-1,70,40,100hz
7,2,6,70,40,100hz
2,7,10,100,41,100hz
3,-27,-27,85,41,100hz
4,-30,-36,85,41,100hz
